country,year,suicides,male,female,population,rate
Albania,1987,73,48,25,2709600,2.6941245940360203
Albania,1988,63,41,22,2764300,2.279057989364396
Albania,1989,68,53,15,2803100,2.4258856266276623
Albania,1992,47,33,14,2822500,1.6651904340124002
Albania,1993,73,46,27,2807300,2.60036333843907
Albania,1994,50,35,15,2849300,1.7548169725897587
Albania,1995,88,54,34,2903400,3.03092925535579
Albania,1996,89,50,39,2940200,3.0270049656485956
Albania,1997,170,118,52,2977300,5.709871359957008
Albania,1998,154,96,58,3012700,5.111693829455306
Albania,1999,139,91,48,3029700,4.587912994685943
Albania,2000,54,38,16,2796300,1.931123270035404
Albania,2001,119,84,35,2799349,4.250988354792489
Albania,2002,133,91,42,2818839,4.718254572183796
Albania,2003,124,73,51,2843929,4.360165109607167
Albania,2004,146,89,57,2874991,5.078276766779444
Albania,2005,0,0,0,2783320,0.0
Albania,2006,0,0,0,2780176,0.0
Albania,2007,124,77,47,2770344,4.47597843444713
Albania,2008,160,99,61,2757059,5.803285312356391
Albania,2009,0,0,0,2745735,0.0
Albania,2010,96,61,35,2736025,3.5087398689704954
Antigua and Barbuda,1985,0,0,0,62574,0.0
Antigua and Barbuda,1986,0,0,0,61270,0.0
Antigua and Barbuda,1987,0,0,0,60261,0.0
Antigua and Barbuda,1988,0,0,0,59564,0.0
Antigua and Barbuda,1989,0,0,0,59238,0.0
Antigua and Barbuda,1990,1,1,0,59334,1.6853743216368355
Antigua and Barbuda,1991,0,0,0,60394,0.0
Antigua and Barbuda,1992,0,0,0,61741,0.0
Antigua and Barbuda,1993,1,1,0,63315,1.5794045644791912
Antigua and Barbuda,1994,0,0,0,65044,0.0
Antigua and Barbuda,1995,0,0,0,66846,0.0
Antigua and Barbuda,1998,0,0,0,72225,0.0
Antigua and Barbuda,1999,0,0,0,73832,0.0
Antigua and Barbuda,2000,2,2,0,75326,2.6551257202028515
Antigua and Barbuda,2001,2,2,0,76497,2.614481613658052
Antigua and Barbuda,2002,0,0,0,77588,0.0
Antigua and Barbuda,2003,1,1,0,78658,1.2713265020722622
Antigua and Barbuda,2004,2,2,0,79722,2.508717794335315
Antigua and Barbuda,2005,0,0,0,80809,0.0
Antigua and Barbuda,2006,0,0,0,81973,0.0
Antigua and Barbuda,2007,1,1,0,83131,1.2029206914388135
Antigua and Barbuda,2008,0,0,0,84273,0.0
Antigua and Barbuda,2009,0,0,0,85405,0.0
Antigua and Barbuda,2012,0,0,0,88703,0.0
Antigua and Barbuda,2013,0,0,0,89779,0.0
Antigua and Barbuda,2014,0,0,0,90837,0.0
Antigua and Barbuda,2015,1,0,1,91889,1.0882695426003113
Argentina,1985,1988,1450,538,27090800,7.338284583696311
Argentina,1986,2284,1643,641,27244400,8.383374198000324
Argentina,1987,2286,1600,686,27599400,8.28278875627731
Argentina,1988,2354,1689,665,28308000,8.315670481842588
Argentina,1989,2247,1641,606,28702000,7.828722737091492
Argentina,1990,2140,1545,595,29091100,7.356201724926181
Argentina,1991,1951,1452,499,29623000,6.586098639570603
Argentina,1992,2184,1680,504,30045400,7.268999580634639
Argentina,1993,2230,1737,493,30477500,7.3168731031088505
Argentina,1994,2241,1731,510,30911200,7.249799425450969
Argentina,1995,2204,1700,504,31345400,7.031334741301754
Argentina,1996,2229,1697,532,31780700,7.013690699072079
Argentina,1997,2184,1645,539,32333781,6.754545656135916
Argentina,1998,2347,1821,526,32757259,7.164824138674118
Argentina,1999,2423,1930,493,33174862,7.303722921289018
Argentina,2000,2774,2224,550,33585533,8.259508640223158
Argentina,2001,3132,2456,676,34010946,9.208800013971972
Argentina,2002,3162,2459,703,34407507,9.18985499298162
Argentina,2003,3289,2605,684,34785907,9.454978419852615
Argentina,2004,3121,2467,654,35162945,8.87582083923858
Argentina,2005,3058,2394,664,35550617,8.601819765884795
Argentina,2006,3108,2496,612,35918886,8.652829600561667
Argentina,2007,2946,2346,600,36315492,8.112240362873234
Argentina,2008,3059,2448,611,36733520,8.327543889069165
Argentina,2009,2884,2300,584,37158001,7.761450891828115
Argentina,2010,2943,2377,566,37578454,7.831615425158256
Argentina,2011,2912,2329,583,38015739,7.659985249793514
Argentina,2012,3248,2620,628,38441778,8.449140932034933
Argentina,2013,2987,2398,589,38859125,7.6867402444084885
Argentina,2014,3231,2544,687,39276555,8.22628155651635
Argentina,2015,3073,2469,604,39699624,7.740627467907504
Armenia,1990,93,64,29,2983700,3.1169353487280893
Armenia,1991,80,54,26,3230800,2.4761668936486316
Armenia,1992,83,64,19,3308700,2.508538096533382
Armenia,1993,106,71,35,3366600,3.1485771995485057
Armenia,1994,112,76,36,3402500,3.2916972814107273
Armenia,1995,130,95,35,3443200,3.7755576208178443
Armenia,1996,87,63,24,3486300,2.4954823164959983
Armenia,1997,77,62,15,3526700,2.1833442027958148
Armenia,1998,66,48,18,3558000,1.854974704890388
Armenia,1999,67,49,18,3580700,1.8711425140335687
Armenia,2000,61,47,14,3606500,1.6913905448495772
Armenia,2001,60,48,12,3610516,1.6618123282101507
Armenia,2002,74,62,12,3014844,2.4545216933280796
Armenia,2003,59,50,9,3024366,1.9508220896544928
Armenia,2006,78,61,17,2764396,2.8215928542799222
Armenia,2007,71,51,20,2735313,2.595681006159076
Armenia,2008,63,44,19,3045391,2.0686998812303576
Armenia,2009,53,43,10,2689695,1.9704836421973495
Armenia,2010,73,54,19,2676225,2.7277228185223588
Armenia,2011,67,51,16,2670366,2.5090193628888326
Armenia,2012,79,59,20,2814300,2.8070923497850266
Armenia,2013,67,43,24,2810664,2.383778352730885
Armenia,2014,58,43,15,2803029,2.069190151082989
Armenia,2015,74,55,19,2795335,2.647267679902409
Armenia,2016,67,53,14,2400033,2.7916282817777924
Aruba,1995,8,8,0,73581,10.872371943844199
Aruba,1999,9,9,0,81934,10.984450899504479
Aruba,2000,10,6,4,83888,11.920656112912456
Aruba,2001,4,4,0,86045,4.64873031553257
Aruba,2002,9,9,0,88284,10.194372706266142
Aruba,2003,2,2,0,90457,2.2109952795250782
Aruba,2004,8,7,1,92335,8.664103536037256
Aruba,2005,10,5,5,93728,10.669170365312395
